ubigeo,anio,foncomun_soles
110203,2015,534674.0
110201,2015,5878343.0
110204,2015,1845396.0
110205,2015,2218009.0
110206,2015,2396559.0
110207,2015,5222708.0
110208,2015,448584.0
110209,2015,510930.0
110210,2015,2533026.0
110211,2015,676565.0
110101,2015,8528881.0
110102,2015,3070508.0
110103,2015,1873913.0
110104,2015,986522.0
110105,2015,776849.0
110106,2015,4237691.0
110107,2015,775333.0
110108,2015,2269799.0
110109,2015,888906.0
110110,2015,1469372.0
110111,2015,3571146.0
110112,2015,2335928.0
110113,2015,572358.0
110114,2015,687446.0
110302,2015,369600.0
110303,2015,432407.0
110304,2015,1096708.0
110301,2015,1379389.0
110305,2015,1357942.0
110402,2015,369600.0
110401,2015,357233.0
110403,2015,369600.0
110404,2015,369600.0
110405,2015,369600.0
110502,2015,663039.0
110503,2015,1248820.0
110504,2015,2638157.0
110505,2015,1314237.0
110501,2015,4420431.0
110506,2015,1709656.0
110507,2015,2366594.0
110508,2015,1952397.0
120202,2015,369600.0
120203,2015,1025156.0
120205,2015,399128.0
120206,2015,1308873.0
120201,2015,2370032.0
120204,2015,565042.0
120207,2015,369600.0
120208,2015,369600.0
120209,2015,446509.0
120210,2015,775308.0
120211,2015,369600.0
120212,2015,369600.0
120213,2015,511995.0
120214,2015,1095979.0
120215,2015,369600.0
120301,2015,9448919.0
120302,2015,13065239.0
120303,2015,11975991.0
120304,2015,2209174.0
120305,2015,4504146.0
120306,2015,1090023.0
120902,2015,1025142.0
120903,2015,659154.0
120901,2015,2224177.0
120904,2015,750215.0
120905,2015,831688.0
120906,2015,440416.0
120907,2015,739287.0
120908,2015,369600.0
120909,2015,1013539.0
120104,2015,369600.0
120112,2015,369600.0
120113,2015,488030.0
120105,2015,369600.0
120106,2015,369600.0
120107,2015,5776797.0
120108,2015,692902.0
120111,2015,369600.0
120114,2015,10776010.0
120116,2015,369600.0
120117,2015,541419.0
120119,2015,1517500.0
120101,2015,10387052.0
120120,2015,369600.0
120121,2015,836616.0
120122,2015,405914.0
120124,2015,1240316.0
120125,2015,1185470.0
120126,2015,746721.0
120127,2015,369600.0
120128,2015,599129.0
120129,2015,987870.0
120130,2015,875669.0
120135,2015,1516162.0
120132,2015,449681.0
120133,2015,1299954.0
120134,2015,697216.0
120136,2015,369600.0
120402,2015,1100968.0
120403,2015,797662.0
120404,2015,369600.0
120405,2015,442648.0
120406,2015,369600.0
120407,2015,369600.0
120408,2015,369600.0
120409,2015,369600.0
120410,2015,369600.0
120411,2015,369600.0
120401,2015,3175664.0
120412,2015,369600.0
120413,2015,369600.0
120414,2015,369600.0
120415,2015,369600.0
120416,2015,373405.0
120417,2015,369600.0
120418,2015,369600.0
120419,2015,369600.0
120420,2015,369600.0
120421,2015,369600.0
120422,2015,369600.0
120423,2015,369600.0
120424,2015,369600.0
120425,2015,369600.0
120426,2015,466582.0
120427,2015,369600.0
120428,2015,369600.0
120429,2015,369600.0
120430,2015,369600.0
120431,2015,815158.0
120432,2015,369600.0
120433,2015,369600.0
120434,2015,1001860.0
120502,2015,1378432.0
120501,2015,1391247.0
120503,2015,619941.0
120504,2015,1741912.0
120602,2015,2360168.0
120603,2015,2352489.0
120604,2015,13493315.0
120605,2015,3477888.0
120606,2015,13806886.0
120607,2015,7483774.0
120608,2015,15898980.0
120601,2015,17117254.0
120702,2015,1754847.0
120703,2015,589876.0
120704,2015,2302254.0
120705,2015,508497.0
120706,2015,1029341.0
120707,2015,1326969.0
120708,2015,851980.0
120709,2015,1051841.0
120701,2015,3538753.0
120802,2015,369600.0
120803,2015,369600.0
120801,2015,1210355.0
120804,2015,369600.0
120805,2015,497902.0
120806,2015,369600.0
120807,2015,420911.0
120808,2015,940481.0
120809,2015,369600.0
120810,2015,598871.0
130201,2015,3484263.0
130208,2015,3157941.0
130202,2015,1906693.0
130203,2015,1216857.0
130204,2015,556133.0
130205,2015,2610380.0
130206,2015,1354267.0
130207,2015,1947359.0
130302,2015,1008123.0
130301,2015,1118118.0
130303,2015,653548.0
130304,2015,525007.0
130306,2015,369600.0
130305,2015,707961.0
130401,2015,2651774.0
130402,2015,3117553.0
130403,2015,2188480.0
131101,2015,1892522.0
131102,2015,1730746.0
131103,2015,680464.0
131104,2015,1990034.0
130502,2015,1690152.0
130503,2015,1900442.0
130504,2015,2181173.0
130501,2015,2240920.0
130602,2015,2274227.0
130604,2015,797069.0
130605,2015,1231053.0
130606,2015,369600.0
130608,2015,763004.0
130601,2015,5014050.0
130610,2015,369600.0
130611,2015,1473585.0
130613,2015,1871356.0
130614,2015,5745612.0
130702,2015,5059813.0
130703,2015,687653.0
130704,2015,2976174.0
130705,2015,1666809.0
130701,2015,3258795.0
130802,2015,1016277.0
130803,2015,3232558.0
130804,2015,1601313.0
130805,2015,925919.0
130806,2015,1194437.0
130807,2015,981178.0
130808,2015,4222616.0
130809,2015,2149953.0
130810,2015,503843.0
130811,2015,681218.0
130812,2015,768801.0
130801,2015,5459963.0
130813,2015,782134.0
130903,2015,3040365.0
130904,2015,2625255.0
130902,2015,5517919.0
130901,2015,10488384.0
130905,2015,4952375.0
130906,2015,4746514.0
